cycle_start_iso,torque_amp_nm,torque_rms_nm
2025-10-02T06:36:58.189644,4.031963,2.962820
2025-10-02T06:36:58.792054,4.061107,2.986080
2025-10-02T06:36:59.394464,4.022723,2.995661
2025-10-02T06:36:59.996874,4.030065,3.009962
2025-10-02T06:37:00.599284,4.033680,3.023255
2025-10-02T06:37:01.201694,4.038108,3.024246
2025-10-02T06:37:01.804104,4.059639,3.036945
2025-10-02T06:37:02.406514,4.074098,3.045537
2025-10-02T06:37:03.008924,4.042536,3.035670
2025-10-02T06:37:03.611334,4.069692,3.027576
2025-10-02T06:37:04.213744,4.047981,3.013598
2025-10-02T06:37:04.816154,4.065603,3.008697
2025-10-02T06:37:05.418564,4.004581,3.012955
2025-10-02T06:37:06.020974,4.068314,3.015175
2025-10-02T06:37:06.623384,4.073714,3.025385
2025-10-02T06:37:07.225794,4.077961,3.039082
2025-10-02T06:37:07.828204,4.083857,3.048291
2025-10-02T06:37:08.430614,4.075114,3.057658
2025-10-02T06:37:09.033024,4.095447,3.057954
2025-10-02T06:37:09.635434,4.106450,3.056238
2025-10-02T06:37:10.237844,4.099265,3.049804
2025-10-02T06:37:10.840254,4.094318,3.056810
2025-10-02T06:37:11.442664,4.075634,3.038467
2025-10-02T06:37:12.045074,4.118424,3.031604
2025-10-02T06:37:12.647484,4.110494,3.005957
2025-10-02T06:37:13.249894,4.091268,2.993652
2025-10-02T06:37:13.852304,4.119531,2.964659
2025-10-02T06:37:14.454714,4.118830,2.946038
2025-10-02T06:37:15.057124,4.100282,2.914578
2025-10-02T06:37:15.659534,4.071725,2.910998
2025-10-02T06:37:16.261944,4.113295,2.931087
2025-10-02T06:37:16.864354,4.121699,2.954613
2025-10-02T06:37:17.466764,4.115306,2.966835
2025-10-02T06:37:18.069174,4.132544,2.996181
